NAME : input300_9.txt 
COMMENT : 
TYPE : 2D Metric Graph
DIMENSION : 300 
EDGE_WEIGHT_TYPE : Metric 2D
NODE_COORD_SECTION
1 158 160
2 44 197
3 175 113
4 76 141
5 79 123
6 111 41
7 153 38
8 37 180
9 124 38
10 187 152
11 159 151
12 75 180
13 61 124
14 166 150
15 168 131
16 151 55
17 98 163
18 192 164
19 100 17
20 105 64
21 38 181
22 118 5
23 129 100
24 84 168
25 181 132
26 61 75
27 70 85
28 84 90
29 102 83
30 124 90
31 183 140
32 107 47
33 88 140
34 112 37
35 107 90
36 85 65
37 49 6
38 108 156
39 108 13
40 131 141
41 89 88
42 197 87
43 186 93
44 57 114
45 44 140
46 23 1
47 113 145
48 147 82
49 165 168
50 68 82
51 49 33
52 157 64
53 187 197
54 151 36
55 134 28
56 96 51
57 57 148
58 118 124
59 177 19
60 116 15
61 151 165
62 35 9
63 28 161
64 62 105
65 145 134
66 165 189
67 69 113
68 94 163
69 92 146
70 59 103
71 154 179
72 15 28
73 65 89
74 176 118
75 171 178
76 13 77
77 31 81
78 4 174
79 103 177
80 138 49
81 20 55
82 99 168
83 189 154
84 172 122
85 138 30
86 2 23
87 70 145
88 172 27
89 28 5
90 65 116
91 4 24
92 126 90
93 127 175
94 141 33
95 165 22
96 25 81
97 166 196
98 90 181
99 143 177
100 163 27
101 18 93
102 169 194
103 22 81
104 83 60
105 163 191
106 73 126
107 148 110
108 100 8
109 55 12
110 69 193
111 85 191
112 125 61
113 97 3
114 111 70
115 149 114
116 96 16
117 17 129
118 52 6
119 14 38
120 35 120
121 14 156
122 186 176
123 60 156
124 90 147
125 184 106
126 88 48
127 75 105
128 100 5
129 128 55
130 97 127
131 40 181
132 7 67
133 158 27
134 156 116
135 145 92
136 169 91
137 23 39
138 54 116
139 185 97
140 41 143
141 46 188
142 33 4
143 113 130
144 119 24
145 97 168
146 172 146
147 12 170
148 156 196
149 24 63
150 190 42
151 29 125
152 92 1
153 178 141
154 197 128
155 144 131
156 94 137
157 31 156
158 130 135
159 42 40
160 69 100
161 172 46
162 150 135
163 110 71
164 56 133
165 199 34
166 24 26
167 158 49
168 106 187
169 147 1
170 121 62
171 199 44
172 38 106
173 129 85
174 30 153
175 175 7
176 70 55
177 116 76
178 124 6
179 109 197
180 165 166
181 161 2
182 187 181
183 23 175
184 47 160
185 94 82
186 43 25
187 41 73
188 130 27
189 34 167
190 123 16
191 156 12
192 96 189
193 95 21
194 75 143
195 4 88
196 120 11
197 10 45
198 35 144
199 100 43
200 169 139
201 122 33
202 25 55
203 7 112
204 129 140
205 42 52
206 164 90
207 147 35
208 3 37
209 68 4
210 127 101
211 185 144
212 167 195
213 76 188
214 5 90
215 133 27
216 90 176
217 129 13
218 38 122
219 106 124
220 148 21
221 156 78
222 133 78
223 61 16
224 67 37
225 73 130
226 144 197
227 44 105
228 113 127
229 145 45
230 94 186
231 71 179
232 48 27
233 145 51
234 55 139
235 15 151
236 174 12
237 98 146
238 170 39
239 116 77
240 49 114
241 169 179
242 148 68
243 105 132
244 188 23
245 131 37
246 100 71
247 125 175
248 44 7
249 65 28
250 68 184
251 18 144
252 18 49
253 71 166
254 149 18
255 6 157
256 11 171
257 155 119
258 60 114
259 169 184
260 141 187
261 168 187
262 130 81
263 137 72
264 154 169
265 1 108
266 191 21
267 192 40
268 197 19
269 162 75
270 128 79
271 50 175
272 92 45
273 137 77
274 31 61
275 86 141
276 171 119
277 122 136
278 154 43
279 114 106
280 198 65
281 86 97
282 9 43
283 162 182
284 49 123
285 59 24
286 36 88
287 113 49
288 187 126
289 15 87
290 61 87
291 176 141
292 48 194
293 29 63
294 27 194
295 68 118
296 48 91
297 55 191
298 71 199
299 38 37
300 68 28
