NAME : input100_4.txt 
COMMENT : 
TYPE : 2D Metric Graph
DIMENSION : 100 
EDGE_WEIGHT_TYPE : Metric 2D
NODE_COORD_SECTION
1 76 51
2 79 32
3 45 66
4 21 7
5 100 68
6 56 44
7 39 7
8 56 10
9 56 85
10 89 8
11 50 52
12 34 69
13 8 33
14 34 70
15 96 94
16 82 50
17 80 41
18 30 69
19 70 28
20 76 63
21 8 82
22 28 4
23 77 4
24 54 41
25 97 95
26 63 18
27 21 66
28 54 18
29 31 84
30 44 62
31 56 54
32 52 60
33 26 40
34 65 71
35 59 93
36 91 74
37 49 60
38 55 78
39 83 88
40 59 1
41 37 4
42 48 78
43 35 58
44 99 89
45 52 41
46 66 37
47 88 46
48 87 26
49 18 19
50 42 58
51 44 78
52 23 4
53 72 89
54 46 17
55 97 34
56 79 14
57 100 52
58 47 16
59 21 10
60 20 46
61 35 84
62 18 11
63 87 85
64 13 71
65 23 91
66 87 31
67 65 100
68 56 41
69 9 78
70 42 24
71 74 2
72 7 11
73 62 25
74 17 36
75 84 66
76 14 93
77 72 64
78 91 42
79 51 71
80 100 12
81 29 78
82 1 40
83 5 38
84 36 67
85 52 99
86 100 6
87 10 13
88 54 61
89 40 14
90 83 83
91 77 31
92 74 11
93 85 97
94 37 100
95 3 4
96 49 57
97 66 42
98 51 6
99 66 1
100 94 94
