NAME : input100_2.txt 
COMMENT : 
TYPE : 2D Metric Graph
DIMENSION : 100 
EDGE_WEIGHT_TYPE : Metric 2D
NODE_COORD_SECTION
1 95 96
2 76 37
3 44 19
4 26 95
5 26 62
6 3 98
7 52 42
8 5 53
9 51 76
10 33 60
11 39 64
12 6 24
13 85 3
14 5 50
15 26 70
16 36 57
17 77 84
18 56 82
19 14 32
20 29 88
21 61 27
22 94 35
23 39 60
24 29 46
25 31 90
26 84 78
27 6 53
28 72 99
29 89 83
30 78 71
31 44 58
32 34 67
33 7 71
34 13 12
35 59 62
36 93 9
37 77 89
38 62 58
39 73 23
40 65 60
41 5 30
42 73 27
43 56 3
44 54 92
45 57 100
46 48 54
47 33 90
48 88 98
49 86 82
50 34 58
51 36 8
52 7 46
53 49 25
54 48 43
55 22 82
56 59 77
57 81 46
58 55 83
59 9 79
60 13 87
61 63 22
62 98 75
63 35 17
64 59 65
65 93 15
66 53 46
67 10 68
68 77 59
69 34 83
70 47 53
71 21 38
72 69 71
73 33 52
74 13 54
75 29 57
76 88 39
77 51 94
78 46 72
79 55 46
80 35 68
81 51 73
82 28 66
83 17 31
84 76 56
85 4 95
86 59 99
87 8 40
88 62 15
89 3 32
90 27 69
91 85 90
92 52 72
93 63 1
94 66 5
95 85 12
96 34 18
97 21 97
98 69 1
99 19 91
100 31 20
