NAME : input300_5.txt 
COMMENT : 
TYPE : 2D Metric Graph
DIMENSION : 300 
EDGE_WEIGHT_TYPE : Metric 2D
NODE_COORD_SECTION
1 190 6
2 98 35
3 194 16
4 73 112
5 41 160
6 199 8
7 159 61
8 197 190
9 9 78
10 145 20
11 190 123
12 149 18
13 135 133
14 114 14
15 14 110
16 194 83
17 116 126
18 49 95
19 84 145
20 193 198
21 155 7
22 97 161
23 186 96
24 158 72
25 160 120
26 162 69
27 5 149
28 91 151
29 109 199
30 94 197
31 31 160
32 130 82
33 155 61
34 103 74
35 185 70
36 159 94
37 10 197
38 190 155
39 124 3
40 35 84
41 177 148
42 25 106
43 11 194
44 29 1
45 62 188
46 91 106
47 67 155
48 168 44
49 2 127
50 144 124
51 141 141
52 31 87
53 136 68
54 30 14
55 110 104
56 127 50
57 110 94
58 112 154
59 161 176
60 89 119
61 155 130
62 117 196
63 7 82
64 129 56
65 45 156
66 117 30
67 197 135
68 192 187
69 191 28
70 31 30
71 20 192
72 67 179
73 148 168
74 119 169
75 47 68
76 190 62
77 94 91
78 17 149
79 104 58
80 176 156
81 161 6
82 127 51
83 99 148
84 67 84
85 89 68
86 39 136
87 114 162
88 153 33
89 181 171
90 120 72
91 6 151
92 104 89
93 92 168
94 127 188
95 108 118
96 55 194
97 156 160
98 27 144
99 84 154
100 152 194
101 179 20
102 183 184
103 77 49
104 126 69
105 189 186
106 115 70
107 31 15
108 93 150
109 147 164
110 137 137
111 126 38
112 74 121
113 20 34
114 14 127
115 34 91
116 45 53
117 175 48
118 43 193
119 142 99
120 5 103
121 121 72
122 169 49
123 116 68
124 24 29
125 83 20
126 79 163
127 79 110
128 33 105
129 197 192
130 113 28
131 26 178
132 89 55
133 93 21
134 45 194
135 111 157
136 25 192
137 52 97
138 152 40
139 182 172
140 131 7
141 70 178
142 125 74
143 166 18
144 26 136
145 179 198
146 70 124
147 140 41
148 75 98
149 199 9
150 11 10
151 114 53
152 10 113
153 180 135
154 85 99
155 105 165
156 94 97
157 45 16
158 141 27
159 104 6
160 27 133
161 154 127
162 129 166
163 82 175
164 166 85
165 160 16
166 110 38
167 131 108
168 125 160
169 137 120
170 160 38
171 78 87
172 51 33
173 110 114
174 181 32
175 35 136
176 60 37
177 2 9
178 87 40
179 36 12
180 131 50
181 35 192
182 137 114
183 65 67
184 90 63
185 30 119
186 183 192
187 19 76
188 13 82
189 75 39
190 66 126
191 23 156
192 10 58
193 11 172
194 157 70
195 3 143
196 155 7
197 95 24
198 46 177
199 185 71
200 166 137
201 48 8
202 93 76
203 92 92
204 89 144
205 194 81
206 63 195
207 178 68
208 71 41
209 82 5
210 171 34
211 90 75
212 81 58
213 165 23
214 118 92
215 110 148
216 20 143
217 58 93
218 164 174
219 49 44
220 78 188
221 68 19
222 150 119
223 166 139
224 66 45
225 50 174
226 55 123
227 66 62
228 198 97
229 82 187
230 67 107
231 78 156
232 197 9
233 13 72
234 8 47
235 124 14
236 28 119
237 125 81
238 79 186
239 78 115
240 144 50
241 175 65
242 95 34
243 87 81
244 45 30
245 191 43
246 1 18
247 113 100
248 179 87
249 151 152
250 67 195
251 144 188
252 152 87
253 1 8
254 46 106
255 179 128
256 66 88
257 49 154
258 75 74
259 54 48
260 150 26
261 101 175
262 145 47
263 43 78
264 15 72
265 29 67
266 58 92
267 56 108
268 74 16
269 58 99
270 164 105
271 170 131
272 165 2
273 165 146
274 4 18
275 100 199
276 176 14
277 95 172
278 9 71
279 41 111
280 77 128
281 179 127
282 23 179
283 161 76
284 142 99
285 74 172
286 200 187
287 97 89
288 174 123
289 86 84
290 30 86
291 96 178
292 17 33
293 85 48
294 154 183
295 91 104
296 12 116
297 34 163
298 32 196
299 138 169
300 111 70
