NAME : input100_7.txt 
COMMENT : 
TYPE : 2D Metric Graph
DIMENSION : 100 
EDGE_WEIGHT_TYPE : Metric 2D
NODE_COORD_SECTION
1 87 40
2 46 3
3 16 43
4 1 63
5 72 65
6 82 41
7 78 11
8 19 31
9 99 3
10 13 65
11 81 85
12 59 65
13 31 42
14 39 99
15 92 48
16 95 83
17 97 25
18 37 31
19 50 6
20 64 15
21 4 24
22 51 29
23 60 3
24 22 46
25 65 85
26 12 64
27 89 38
28 51 10
29 13 65
30 61 91
31 59 5
32 1 100
33 6 57
34 60 73
35 90 81
36 42 42
37 7 23
38 92 41
39 29 74
40 54 67
41 77 94
42 49 98
43 32 83
44 14 37
45 65 96
46 39 7
47 87 33
48 58 8
49 65 9
50 40 46
51 89 15
52 16 33
53 73 87
54 65 73
55 65 73
56 48 99
57 37 17
58 38 55
59 15 27
60 6 67
61 21 71
62 55 74
63 22 45
64 24 93
65 24 31
66 40 38
67 21 25
68 93 40
69 34 38
70 53 57
71 41 17
72 97 13
73 39 27
74 81 84
75 1 8
76 87 27
77 33 6
78 64 1
79 44 47
80 90 21
81 82 52
82 17 76
83 91 72
84 45 43
85 58 56
86 68 3
87 68 79
88 23 39
89 87 49
90 75 16
91 23 18
92 76 11
93 60 52
94 18 82
95 71 38
96 17 9
97 91 82
98 16 65
99 8 99
100 84 13
