NAME : input200_8.txt 
COMMENT : 
TYPE : 2D Metric Graph
DIMENSION : 200 
EDGE_WEIGHT_TYPE : Metric 2D
NODE_COORD_SECTION
1 190 114
2 31 88
3 19 77
4 137 136
5 75 192
6 115 136
7 182 186
8 150 59
9 14 13
10 175 36
11 111 199
12 93 42
13 183 22
14 48 143
15 11 49
16 79 31
17 85 97
18 58 156
19 169 109
20 136 47
21 83 199
22 3 17
23 51 27
24 41 11
25 28 128
26 33 46
27 143 134
28 125 4
29 17 109
30 82 59
31 169 196
32 103 152
33 129 176
34 143 168
35 172 62
36 54 4
37 177 48
38 52 58
39 164 146
40 80 114
41 12 130
42 200 200
43 198 166
44 192 86
45 88 29
46 105 57
47 160 94
48 93 168
49 73 72
50 160 131
51 131 98
52 89 133
53 139 192
54 144 46
55 82 154
56 63 167
57 46 105
58 162 90
59 15 88
60 182 123
61 92 72
62 96 178
63 165 62
64 41 23
65 9 189
66 73 169
67 195 158
68 108 14
69 28 22
70 188 51
71 88 19
72 75 156
73 115 56
74 37 146
75 97 11
76 75 100
77 74 137
78 166 192
79 147 105
80 103 179
81 109 173
82 150 183
83 120 154
84 36 165
85 162 183
86 108 114
87 54 37
88 107 199
89 125 117
90 160 165
91 152 194
92 94 38
93 153 70
94 54 71
95 92 153
96 178 164
97 198 19
98 19 89
99 181 33
100 147 32
101 143 89
102 44 141
103 102 24
104 152 82
105 114 161
106 104 190
107 49 125
108 106 28
109 69 44
110 195 130
111 21 1
112 57 167
113 142 27
114 91 194
115 64 147
116 71 60
117 198 16
118 162 116
119 98 102
120 104 107
121 161 62
122 146 147
123 131 40
124 179 39
125 174 25
126 106 15
127 161 89
128 170 96
129 72 179
130 180 68
131 42 97
132 51 107
133 145 158
134 121 54
135 127 12
136 73 52
137 150 96
138 66 51
139 153 89
140 8 184
141 178 91
142 105 103
143 149 123
144 106 85
145 42 95
146 107 32
147 96 166
148 80 37
149 186 135
150 123 37
151 40 63
152 55 95
153 156 37
154 151 95
155 143 42
156 40 123
157 115 77
158 103 70
159 51 114
160 101 86
161 163 120
162 109 121
163 30 126
164 124 107
165 24 136
166 33 38
167 117 200
168 50 136
169 68 91
170 200 130
171 158 55
172 85 176
173 27 49
174 193 31
175 152 61
176 18 62
177 171 81
178 165 184
179 134 94
180 123 116
181 140 118
182 61 66
183 98 13
184 131 173
185 192 148
186 142 46
187 166 23
188 154 94
189 149 79
190 26 154
191 82 117
192 95 71
193 161 152
194 27 32
195 29 49
196 34 8
197 104 23
198 134 11
199 112 134
200 59 115
