NAME : input200_2.txt 
COMMENT : 
TYPE : 2D Metric Graph
DIMENSION : 200 
EDGE_WEIGHT_TYPE : Metric 2D
NODE_COORD_SECTION
1 93 21
2 73 136
3 38 20
4 23 35
5 184 168
6 91 88
7 55 39
8 50 156
9 106 135
10 14 138
11 108 120
12 139 103
13 188 5
14 80 82
15 168 31
16 174 63
17 9 115
18 73 79
19 123 135
20 118 9
21 11 33
22 65 38
23 12 137
24 86 129
25 58 92
26 82 187
27 171 167
28 167 197
29 90 88
30 182 46
31 169 63
32 134 78
33 136 145
34 7 82
35 158 73
36 165 62
37 3 191
38 197 142
39 166 123
40 138 85
41 78 3
42 126 173
43 2 197
44 181 187
45 143 97
46 70 199
47 177 18
48 89 183
49 105 99
50 5 146
51 62 47
52 110 107
53 6 187
54 22 50
55 104 180
56 94 12
57 132 90
58 190 199
59 183 145
60 160 79
61 24 11
62 143 9
63 54 85
64 83 105
65 11 65
66 59 137
67 33 174
68 18 152
69 32 7
70 58 183
71 158 138
72 24 105
73 77 186
74 31 180
75 93 151
76 151 92
77 150 121
78 190 113
79 52 77
80 140 111
81 172 79
82 195 37
83 147 164
84 102 63
85 181 134
86 173 148
87 79 64
88 14 73
89 116 71
90 112 99
91 45 87
92 160 34
93 104 49
94 39 83
95 62 61
96 140 145
97 79 196
98 199 161
99 118 119
100 12 30
101 87 12
102 146 69
103 13 6
104 104 44
105 43 105
106 170 197
107 22 65
108 22 44
109 124 113
110 185 153
111 22 179
112 168 56
113 190 31
114 98 47
115 25 12
116 145 38
117 134 149
118 152 14
119 25 25
120 58 9
121 4 188
122 5 180
123 48 158
124 75 173
125 130 81
126 180 87
127 199 21
128 26 148
129 146 193
130 34 106
131 47 108
132 49 49
133 140 48
134 13 112
135 67 88
136 197 99
137 173 172
138 175 37
139 172 199
140 17 88
141 71 107
142 165 39
143 171 33
144 99 9
145 132 170
146 48 11
147 175 89
148 95 187
149 82 178
150 146 196
151 176 122
152 60 1
153 132 103
154 67 89
155 17 25
156 168 52
157 175 21
158 116 200
159 15 117
160 113 144
161 2 64
162 161 69
163 5 96
164 194 44
165 21 67
166 200 152
167 143 122
168 25 98
169 98 192
170 76 186
171 8 140
172 107 74
173 149 139
174 14 61
175 150 169
176 104 179
177 131 173
178 176 197
179 157 83
180 129 9
181 156 104
182 100 86
183 24 187
184 177 163
185 137 124
186 127 93
187 63 63
188 73 185
189 52 177
190 100 11
191 41 55
192 56 21
193 132 71
194 123 171
195 17 26
196 182 13
197 200 128
198 29 51
199 87 13
200 189 10
