NAME : input300_1.txt 
COMMENT : 
TYPE : 2D Metric Graph
DIMENSION : 300 
EDGE_WEIGHT_TYPE : Metric 2D
NODE_COORD_SECTION
1 11 193
2 12 124
3 2 42
4 193 126
5 98 132
6 112 34
7 17 192
8 83 192
9 96 173
10 16 182
11 65 172
12 160 11
13 130 128
14 137 110
15 133 28
16 168 177
17 116 111
18 159 63
19 176 29
20 67 150
21 147 38
22 10 88
23 11 184
24 61 24
25 186 199
26 171 25
27 100 70
28 173 55
29 189 78
30 135 157
31 125 10
32 102 140
33 74 128
34 175 111
35 143 172
36 118 53
37 26 110
38 120 159
39 191 98
40 92 15
41 127 178
42 58 91
43 72 125
44 33 18
45 200 102
46 62 147
47 74 155
48 193 121
49 80 61
50 61 61
51 81 49
52 160 34
53 196 142
54 196 134
55 111 117
56 146 121
57 47 195
58 81 145
59 15 61
60 114 69
61 81 117
62 78 187
63 70 129
64 190 9
65 188 48
66 156 90
67 166 191
68 119 117
69 98 88
70 192 35
71 195 171
72 132 31
73 32 134
74 192 200
75 2 137
76 18 147
77 88 180
78 198 35
79 57 22
80 168 121
81 37 39
82 80 107
83 169 36
84 188 122
85 118 117
86 143 112
87 107 57
88 116 7
89 101 105
90 144 58
91 130 193
92 177 28
93 29 129
94 84 129
95 91 165
96 4 18
97 42 96
98 13 173
99 22 97
100 142 172
101 52 50
102 190 161
103 52 106
104 32 46
105 25 51
106 68 80
107 50 64
108 199 97
109 200 115
110 72 74
111 158 22
112 88 145
113 169 13
114 110 168
115 143 43
116 149 153
117 63 35
118 128 164
119 24 38
120 29 141
121 99 40
122 32 165
123 198 58
124 150 189
125 56 18
126 164 188
127 172 84
128 173 20
129 78 140
130 69 170
131 102 124
132 160 105
133 170 90
134 134 184
135 200 199
136 108 30
137 114 8
138 5 48
139 93 141
140 9 175
141 7 131
142 173 17
143 156 68
144 93 142
145 118 58
146 160 38
147 186 83
148 32 77
149 34 71
150 13 86
151 24 63
152 75 13
153 66 52
154 1 13
155 40 21
156 38 48
157 128 2
158 132 123
159 29 23
160 68 186
161 174 42
162 181 171
163 192 90
164 118 181
165 86 159
166 197 20
167 200 168
168 149 41
169 119 6
170 75 44
171 22 116
172 145 30
173 85 158
174 120 37
175 96 180
176 132 73
177 15 186
178 75 83
179 196 115
180 58 18
181 62 187
182 163 186
183 180 154
184 78 33
185 16 109
186 106 84
187 196 29
188 61 58
189 150 84
190 143 98
191 46 3
192 89 18
193 82 181
194 193 68
195 66 150
196 89 120
197 101 111
198 138 61
199 142 116
200 182 29
201 190 192
202 35 153
203 153 19
204 29 118
205 53 191
206 164 76
207 188 105
208 160 155
209 55 32
210 49 98
211 137 48
212 138 30
213 76 31
214 187 181
215 95 16
216 188 33
217 129 5
218 73 127
219 82 111
220 187 200
221 143 9
222 59 89
223 127 104
224 65 139
225 12 141
226 82 30
227 177 200
228 6 81
229 15 38
230 13 36
231 178 135
232 54 177
233 149 83
234 99 87
235 50 82
236 79 133
237 97 162
238 47 6
239 37 148
240 29 78
241 85 51
242 12 127
243 164 145
244 172 82
245 150 179
246 192 29
247 86 53
248 9 91
249 191 96
250 20 117
251 89 5
252 65 99
253 136 65
254 190 28
255 153 41
256 58 46
257 24 184
258 182 45
259 42 174
260 25 114
261 190 183
262 16 45
263 86 187
264 70 178
265 122 22
266 200 153
267 87 48
268 198 162
269 81 135
270 4 107
271 62 185
272 163 49
273 189 172
274 146 154
275 106 191
276 136 170
277 188 141
278 107 148
279 199 165
280 19 3
281 54 33
282 2 137
283 10 67
284 44 72
285 131 51
286 187 200
287 50 3
288 82 8
289 45 137
290 98 148
291 11 2
292 196 178
293 67 64
294 29 21
295 4 60
296 98 117
297 51 54
298 140 98
299 92 46
300 101 131
