NAME : input300_3.txt 
COMMENT : 
TYPE : 2D Metric Graph
DIMENSION : 300 
EDGE_WEIGHT_TYPE : Metric 2D
NODE_COORD_SECTION
1 8 187
2 172 86
3 150 28
4 67 150
5 161 84
6 158 46
7 135 23
8 10 45
9 4 118
10 51 84
11 28 107
12 113 66
13 113 3
14 131 190
15 105 172
16 106 103
17 104 12
18 102 183
19 40 189
20 167 4
21 116 104
22 14 97
23 135 34
24 178 178
25 179 121
26 51 32
27 104 30
28 98 35
29 152 83
30 20 199
31 143 120
32 177 25
33 177 68
34 64 14
35 107 162
36 39 154
37 32 155
38 9 22
39 163 87
40 51 97
41 44 155
42 85 128
43 199 137
44 114 65
45 190 55
46 142 181
47 76 21
48 115 82
49 150 54
50 161 67
51 93 62
52 164 95
53 117 85
54 50 183
55 131 113
56 78 59
57 6 171
58 175 47
59 139 183
60 121 24
61 49 13
62 82 129
63 133 71
64 16 133
65 131 67
66 122 49
67 185 185
68 168 120
69 95 106
70 81 91
71 176 106
72 32 59
73 75 23
74 8 119
75 3 16
76 197 43
77 192 43
78 182 198
79 30 199
80 18 62
81 189 103
82 192 43
83 133 114
84 133 9
85 77 24
86 157 136
87 58 199
88 39 181
89 2 69
90 168 55
91 102 44
92 191 70
93 90 191
94 128 171
95 67 97
96 136 190
97 4 198
98 178 27
99 64 97
100 108 66
101 79 107
102 93 167
103 127 140
104 159 25
105 13 156
106 5 132
107 17 95
108 104 118
109 90 141
110 1 200
111 194 131
112 157 174
113 17 4
114 183 141
115 16 64
116 96 123
117 54 72
118 58 118
119 23 90
120 172 16
121 150 94
122 53 51
123 34 104
124 51 149
125 46 98
126 89 136
127 54 132
128 200 143
129 128 34
130 38 18
131 186 61
132 55 119
133 94 94
134 179 169
135 158 31
136 31 92
137 48 56
138 98 36
139 17 117
140 80 150
141 29 103
142 151 130
143 22 28
144 142 13
145 163 48
146 27 172
147 165 65
148 200 148
149 191 116
150 138 5
151 84 176
152 154 162
153 30 123
154 81 71
155 181 59
156 17 183
157 91 190
158 28 127
159 71 130
160 24 150
161 100 11
162 197 158
163 118 109
164 71 29
165 156 192
166 49 43
167 71 138
168 81 32
169 45 122
170 99 33
171 189 174
172 184 188
173 137 6
174 164 184
175 86 111
176 22 75
177 131 34
178 98 178
179 62 79
180 74 29
181 36 32
182 2 50
183 53 23
184 145 94
185 148 195
186 53 58
187 196 145
188 135 161
189 41 123
190 90 20
191 102 57
192 48 180
193 124 23
194 9 197
195 28 34
196 134 121
197 200 98
198 132 132
199 199 68
200 96 63
201 168 23
202 54 117
203 121 23
204 43 62
205 140 40
206 198 174
207 120 46
208 16 170
209 183 106
210 128 74
211 5 25
212 149 95
213 75 196
214 151 51
215 166 56
216 106 161
217 97 134
218 165 132
219 11 143
220 131 149
221 88 129
222 82 114
223 22 194
224 66 102
225 1 146
226 130 70
227 137 189
228 21 29
229 86 123
230 93 136
231 161 190
232 88 137
233 13 59
234 166 139
235 188 179
236 108 153
237 50 135
238 4 157
239 51 48
240 192 200
241 43 117
242 198 63
243 73 175
244 72 173
245 196 37
246 132 161
247 171 77
248 46 90
249 183 119
250 77 68
251 96 63
252 16 6
253 162 42
254 74 142
255 166 50
256 51 156
257 81 104
258 32 118
259 80 54
260 111 198
261 67 16
262 35 68
263 177 172
264 96 197
265 139 15
266 169 89
267 27 42
268 149 4
269 117 120
270 65 136
271 112 65
272 20 23
273 158 28
274 175 39
275 194 118
276 60 44
277 188 186
278 186 98
279 142 156
280 113 52
281 101 80
282 182 173
283 148 110
284 51 29
285 114 18
286 156 99
287 185 74
288 118 62
289 169 144
290 162 34
291 88 106
292 167 68
293 51 198
294 69 143
295 135 2
296 17 67
297 69 123
298 152 22
299 107 186
300 24 88
