NAME : input100_9.txt 
COMMENT : 
TYPE : 2D Metric Graph
DIMENSION : 100 
EDGE_WEIGHT_TYPE : Metric 2D
NODE_COORD_SECTION
1 19 79
2 94 37
3 17 49
4 46 42
5 50 81
6 43 76
7 3 70
8 80 56
9 90 87
10 2 54
11 46 38
12 29 7
13 20 42
14 42 19
15 25 46
16 26 9
17 48 61
18 79 82
19 89 57
20 29 67
21 44 24
22 13 33
23 43 10
24 13 97
25 28 93
26 3 10
27 59 61
28 58 46
29 80 14
30 48 95
31 6 76
32 97 10
33 15 58
34 55 28
35 73 78
36 70 54
37 94 37
38 23 55
39 99 77
40 1 9
41 89 56
42 69 79
43 24 69
44 11 57
45 76 28
46 55 46
47 61 86
48 90 79
49 7 64
50 21 5
51 96 61
52 27 58
53 57 68
54 8 67
55 58 90
56 76 66
57 92 20
58 27 61
59 86 86
60 59 47
61 99 94
62 59 54
63 34 70
64 93 42
65 93 96
66 35 40
67 38 33
68 23 11
69 19 26
70 40 15
71 4 47
72 8 25
73 82 42
74 45 1
75 29 99
76 53 25
77 94 76
78 46 27
79 79 54
80 34 7
81 81 28
82 60 82
83 81 34
84 39 79
85 92 78
86 96 88
87 29 45
88 91 10
89 42 86
90 12 75
91 83 48
92 100 95
93 25 6
94 28 26
95 98 32
96 5 100
97 91 8
98 25 3
99 6 48
100 36 100
