NAME : input300_6.txt 
COMMENT : 
TYPE : 2D Metric Graph
DIMENSION : 300 
EDGE_WEIGHT_TYPE : Metric 2D
NODE_COORD_SECTION
1 177 78
2 41 36
3 130 94
4 48 36
5 170 92
6 183 70
7 176 159
8 52 4
9 95 87
10 121 2
11 157 165
12 167 162
13 173 154
14 16 92
15 83 5
16 4 80
17 87 117
18 21 71
19 157 190
20 10 173
21 27 105
22 43 139
23 102 49
24 74 46
25 39 7
26 192 148
27 182 40
28 146 69
29 88 162
30 142 39
31 69 195
32 153 156
33 175 98
34 1 152
35 122 108
36 82 64
37 171 79
38 116 18
39 21 52
40 73 127
41 22 134
42 65 108
43 187 23
44 155 125
45 183 70
46 26 22
47 112 191
48 39 35
49 113 33
50 198 11
51 86 41
52 7 52
53 47 132
54 173 168
55 74 112
56 18 93
57 42 139
58 64 9
59 27 57
60 6 59
61 50 194
62 130 90
63 190 123
64 90 124
65 28 193
66 58 152
67 20 52
68 127 31
69 88 82
70 101 97
71 88 15
72 1 78
73 147 110
74 183 96
75 85 120
76 35 26
77 96 111
78 26 102
79 117 138
80 17 130
81 161 139
82 42 24
83 157 93
84 164 72
85 55 51
86 29 9
87 4 150
88 75 25
89 100 37
90 50 126
91 155 13
92 23 147
93 154 76
94 119 118
95 194 141
96 105 155
97 129 176
98 70 131
99 64 75
100 150 193
101 141 91
102 148 75
103 20 32
104 110 152
105 12 34
106 101 91
107 92 196
108 67 189
109 49 106
110 54 63
111 136 100
112 35 38
113 185 152
114 3 186
115 143 129
116 26 130
117 80 200
118 171 168
119 51 156
120 158 36
121 164 27
122 51 148
123 73 179
124 142 104
125 158 123
126 87 69
127 67 154
128 75 78
129 7 190
130 175 154
131 195 87
132 154 43
133 72 152
134 17 29
135 151 75
136 139 198
137 119 70
138 190 68
139 49 34
140 100 158
141 8 179
142 144 157
143 186 83
144 125 180
145 192 127
146 132 113
147 1 30
148 182 126
149 1 153
150 179 62
151 50 83
152 102 171
153 33 16
154 173 7
155 60 160
156 26 191
157 181 161
158 126 142
159 94 192
160 33 131
161 52 74
162 121 160
163 26 155
164 58 140
165 65 24
166 194 89
167 27 74
168 33 197
169 93 137
170 188 53
171 144 140
172 12 70
173 28 164
174 43 32
175 92 21
176 190 83
177 31 37
178 26 138
179 66 144
180 143 93
181 9 135
182 123 69
183 126 20
184 116 47
185 36 112
186 186 165
187 93 45
188 165 24
189 188 158
190 53 3
191 122 189
192 183 16
193 172 108
194 166 16
195 167 60
196 21 72
197 36 181
198 125 70
199 180 67
200 71 93
201 18 25
202 121 90
203 134 166
204 151 136
205 138 28
206 131 31
207 30 139
208 151 6
209 74 33
210 21 68
211 155 33
212 7 91
213 194 32
214 105 1
215 102 5
216 109 57
217 152 198
218 86 103
219 138 76
220 127 89
221 53 28
222 103 21
223 145 81
224 102 109
225 102 95
226 99 93
227 117 179
228 152 146
229 30 6
230 27 114
231 74 173
232 178 99
233 129 107
234 19 134
235 112 2
236 102 170
237 142 146
238 164 173
239 116 66
240 78 106
241 138 137
242 54 123
243 5 20
244 191 32
245 62 109
246 140 179
247 198 40
248 50 70
249 197 12
250 164 45
251 173 79
252 55 33
253 166 117
254 196 147
255 107 65
256 132 146
257 109 121
258 108 88
259 48 87
260 162 102
261 110 165
262 80 138
263 91 145
264 170 62
265 114 156
266 32 79
267 175 94
268 44 48
269 37 96
270 155 124
271 37 117
272 51 52
273 196 190
274 156 114
275 128 66
276 33 66
277 22 107
278 76 39
279 127 153
280 128 88
281 44 75
282 76 89
283 41 169
284 183 31
285 168 44
286 130 157
287 102 168
288 137 123
289 5 149
290 162 124
291 180 96
292 85 122
293 121 87
294 29 8
295 162 189
296 144 123
297 60 156
298 48 94
299 18 9
300 140 71
