NAME : input200_9.txt 
COMMENT : 
TYPE : 2D Metric Graph
DIMENSION : 200 
EDGE_WEIGHT_TYPE : Metric 2D
NODE_COORD_SECTION
1 188 125
2 180 123
3 200 143
4 8 180
5 123 188
6 17 165
7 88 50
8 154 37
9 109 65
10 95 40
11 190 190
12 155 199
13 40 158
14 128 46
15 93 58
16 86 76
17 98 84
18 61 145
19 132 133
20 94 70
21 186 71
22 181 172
23 172 143
24 139 130
25 174 143
26 79 178
27 170 97
28 92 55
29 184 135
30 51 199
31 160 168
32 69 81
33 153 44
34 136 88
35 27 118
36 170 126
37 29 93
38 70 126
39 113 66
40 54 5
41 80 93
42 171 53
43 158 179
44 128 108
45 46 115
46 21 37
47 46 193
48 159 171
49 21 196
50 36 77
51 61 10
52 45 69
53 126 95
54 19 81
55 106 96
56 5 42
57 173 32
58 191 128
59 152 37
60 180 32
61 113 85
62 142 159
63 1 165
64 11 133
65 17 120
66 23 139
67 189 93
68 53 137
69 165 32
70 51 190
71 116 78
72 103 106
73 116 88
74 126 190
75 47 30
76 7 139
77 60 58
78 183 123
79 82 49
80 1 36
81 106 89
82 10 199
83 154 55
84 68 72
85 144 75
86 142 159
87 89 172
88 39 114
89 169 130
90 24 48
91 158 75
92 163 55
93 40 145
94 68 151
95 29 43
96 67 102
97 84 189
98 18 84
99 122 151
100 104 16
101 169 25
102 122 162
103 120 158
104 77 169
105 150 16
106 134 158
107 200 172
108 192 171
109 12 187
110 117 105
111 53 155
112 120 190
113 51 181
114 4 7
115 131 42
116 113 148
117 94 15
118 61 164
119 132 36
120 182 129
121 91 126
122 94 52
123 152 14
124 118 55
125 7 186
126 43 179
127 30 182
128 150 113
129 85 108
130 64 168
131 74 7
132 141 103
133 150 54
134 100 119
135 113 68
136 48 43
137 50 197
138 9 145
139 58 17
140 77 78
141 113 175
142 128 88
143 71 89
144 183 31
145 65 155
146 152 125
147 163 172
148 108 11
149 13 182
150 83 32
151 101 164
152 106 179
153 39 145
154 58 96
155 77 5
156 92 51
157 68 112
158 157 63
159 189 49
160 157 3
161 51 195
162 46 49
163 113 170
164 162 198
165 108 151
166 123 81
167 62 61
168 111 148
169 80 140
170 74 160
171 140 145
172 50 24
173 174 115
174 176 32
175 173 118
176 193 189
177 62 147
178 16 131
179 40 190
180 37 55
181 56 48
182 150 45
183 8 48
184 128 188
185 62 71
186 100 167
187 28 94
188 92 112
189 75 106
190 36 85
191 122 72
192 41 40
193 187 124
194 3 36
195 95 26
196 54 60
197 96 58
198 25 117
199 45 87
200 188 85
