NAME : input200_3.txt 
COMMENT : 
TYPE : 2D Metric Graph
DIMENSION : 200 
EDGE_WEIGHT_TYPE : Metric 2D
NODE_COORD_SECTION
1 117 173
2 56 61
3 35 164
4 176 122
5 157 138
6 8 2
7 47 46
8 199 163
9 156 28
10 62 155
11 30 46
12 46 100
13 87 131
14 167 195
15 59 167
16 101 118
17 44 139
18 19 102
19 75 108
20 144 122
21 176 95
22 114 195
23 190 94
24 166 73
25 167 15
26 157 126
27 195 102
28 37 131
29 72 176
30 89 93
31 156 11
32 31 116
33 69 68
34 164 92
35 110 41
36 20 193
37 99 46
38 86 61
39 159 90
40 100 82
41 96 49
42 161 53
43 82 81
44 126 83
45 100 162
46 42 64
47 134 83
48 30 163
49 36 149
50 175 165
51 149 87
52 8 86
53 136 76
54 45 89
55 183 167
56 190 81
57 157 66
58 137 103
59 128 4
60 15 165
61 65 150
62 105 163
63 189 32
64 183 78
65 36 30
66 87 21
67 92 179
68 92 94
69 87 58
70 142 56
71 192 58
72 2 87
73 75 73
74 56 38
75 175 5
76 88 20
77 190 123
78 3 117
79 46 165
80 35 26
81 83 175
82 147 134
83 109 86
84 68 163
85 48 59
86 155 105
87 29 149
88 174 47
89 92 60
90 34 121
91 99 133
92 190 165
93 1 98
94 110 198
95 146 73
96 184 52
97 157 184
98 66 172
99 62 156
100 95 22
101 190 47
102 116 1
103 35 101
104 93 7
105 92 57
106 151 2
107 52 184
108 88 81
109 194 15
110 89 59
111 10 50
112 187 191
113 141 140
114 48 10
115 137 37
116 9 119
117 57 183
118 69 76
119 91 77
120 119 71
121 158 134
122 122 192
123 66 185
124 120 123
125 40 12
126 68 7
127 4 71
128 185 128
129 170 108
130 144 56
131 182 199
132 172 186
133 189 69
134 8 16
135 108 80
136 143 33
137 126 169
138 144 178
139 122 88
140 64 46
141 127 161
142 87 84
143 23 142
144 105 30
145 142 35
146 33 148
147 38 199
148 104 185
149 49 36
150 124 2
151 30 38
152 159 123
153 7 3
154 103 86
155 61 126
156 58 116
157 178 63
158 156 53
159 57 1
160 115 134
161 103 89
162 133 16
163 46 167
164 180 97
165 178 95
166 159 9
167 27 90
168 7 160
169 37 119
170 90 136
171 31 147
172 57 187
173 7 198
174 163 90
175 159 76
176 6 23
177 178 9
178 183 22
179 137 26
180 77 93
181 83 95
182 69 39
183 77 147
184 33 83
185 176 65
186 59 157
187 147 44
188 5 168
189 11 23
190 109 116
191 53 171
192 184 79
193 27 34
194 90 64
195 93 197
196 181 110
197 149 43
198 76 143
199 137 84
200 186 183
