NAME : input200_7.txt 
COMMENT : 
TYPE : 2D Metric Graph
DIMENSION : 200 
EDGE_WEIGHT_TYPE : Metric 2D
NODE_COORD_SECTION
1 45 158
2 123 184
3 196 142
4 153 196
5 60 69
6 77 55
7 161 149
8 115 100
9 53 38
10 130 178
11 158 158
12 49 32
13 187 185
14 148 31
15 59 95
16 19 173
17 49 121
18 176 70
19 199 75
20 66 151
21 27 51
22 198 70
23 39 168
24 143 141
25 88 30
26 76 46
27 188 43
28 110 84
29 91 89
30 13 92
31 121 102
32 24 65
33 81 26
34 103 139
35 56 197
36 100 38
37 23 16
38 167 107
39 159 119
40 136 95
41 189 88
42 196 124
43 138 144
44 29 70
45 42 146
46 155 162
47 52 183
48 152 40
49 164 67
50 10 138
51 135 194
52 93 135
53 148 155
54 148 156
55 140 188
56 84 23
57 50 2
58 192 102
59 88 195
60 63 148
61 49 159
62 162 28
63 69 127
64 19 105
65 182 181
66 170 49
67 126 188
68 83 48
69 89 190
70 76 38
71 25 14
72 56 3
73 114 80
74 132 15
75 191 113
76 57 48
77 129 19
78 188 9
79 116 181
80 40 122
81 37 178
82 11 35
83 176 178
84 147 5
85 173 142
86 116 16
87 79 21
88 120 110
89 39 52
90 16 37
91 17 122
92 30 190
93 84 31
94 93 17
95 183 112
96 103 112
97 142 138
98 147 114
99 32 134
100 67 102
101 23 89
102 119 150
103 5 92
104 142 120
105 72 193
106 87 141
107 28 190
108 164 62
109 158 135
110 33 116
111 69 112
112 63 122
113 45 62
114 115 23
115 122 110
116 193 192
117 74 182
118 98 27
119 167 163
120 47 15
121 100 147
122 107 37
123 16 105
124 97 133
125 113 27
126 154 121
127 184 186
128 141 112
129 47 118
130 30 159
131 171 98
132 112 64
133 169 150
134 40 39
135 7 159
136 66 7
137 89 46
138 146 36
139 39 45
140 198 102
141 148 168
142 91 23
143 105 189
144 66 91
145 32 117
146 174 181
147 88 111
148 90 136
149 125 189
150 55 108
151 185 52
152 86 188
153 196 13
154 96 49
155 193 186
156 197 128
157 190 22
158 87 4
159 32 39
160 173 99
161 131 106
162 53 129
163 170 104
164 40 35
165 106 183
166 136 59
167 154 76
168 180 138
169 177 156
170 78 33
171 41 144
172 32 29
173 93 30
174 86 43
175 113 200
176 146 186
177 177 129
178 78 193
179 80 58
180 23 91
181 181 157
182 12 194
183 127 124
184 11 63
185 11 175
186 185 134
187 122 157
188 90 41
189 107 129
190 22 192
191 75 40
192 76 78
193 55 180
194 194 165
195 80 185
196 131 31
197 61 152
198 12 173
199 80 173
200 186 142
