NAME : input100_6.txt 
COMMENT : 
TYPE : 2D Metric Graph
DIMENSION : 100 
EDGE_WEIGHT_TYPE : Metric 2D
NODE_COORD_SECTION
1 49 39
2 96 99
3 83 39
4 33 36
5 12 94
6 39 63
7 69 32
8 41 4
9 48 56
10 38 14
11 8 78
12 73 44
13 63 33
14 42 14
15 92 22
16 95 6
17 53 98
18 93 40
19 23 60
20 16 73
21 49 85
22 98 30
23 97 19
24 47 95
25 66 99
26 59 70
27 32 32
28 36 86
29 27 59
30 44 33
31 88 29
32 70 55
33 48 44
34 66 21
35 29 70
36 83 18
37 90 56
38 8 90
39 87 82
40 99 5
41 21 6
42 92 81
43 72 40
44 93 42
45 9 54
46 57 60
47 90 68
48 11 20
49 78 58
50 31 25
51 43 60
52 52 35
53 87 10
54 63 67
55 55 45
56 6 73
57 37 5
58 7 90
59 31 45
60 65 5
61 65 17
62 56 86
63 83 52
64 50 75
65 47 85
66 44 7
67 9 21
68 36 24
69 72 10
70 25 83
71 99 11
72 94 43
73 95 34
74 62 83
75 15 90
76 27 54
77 39 52
78 70 99
79 10 96
80 36 31
81 14 71
82 91 84
83 58 44
84 48 33
85 5 21
86 17 45
87 89 69
88 66 1
89 83 6
90 23 3
91 44 14
92 47 27
93 14 60
94 73 38
95 39 89
96 62 36
97 80 92
98 69 81
99 1 57
100 8 49
