NAME : input200_10.txt 
COMMENT : 
TYPE : 2D Metric Graph
DIMENSION : 200 
EDGE_WEIGHT_TYPE : Metric 2D
NODE_COORD_SECTION
1 19 43
2 172 22
3 10 82
4 128 6
5 72 168
6 172 185
7 27 82
8 17 10
9 136 110
10 99 152
11 187 90
12 27 7
13 42 166
14 141 37
15 21 4
16 129 57
17 46 16
18 155 157
19 138 4
20 122 75
21 120 57
22 119 133
23 109 189
24 113 163
25 27 17
26 74 32
27 148 185
28 167 50
29 30 188
30 66 4
31 37 14
32 95 35
33 39 10
34 151 187
35 35 58
36 155 100
37 86 44
38 156 182
39 15 76
40 5 175
41 143 182
42 12 44
43 161 197
44 102 2
45 192 30
46 142 52
47 76 35
48 46 117
49 111 2
50 83 198
51 52 162
52 116 9
53 88 72
54 4 1
55 161 130
56 180 42
57 93 190
58 41 177
59 166 15
60 190 166
61 67 137
62 18 165
63 163 110
64 176 168
65 89 138
66 181 183
67 134 66
68 12 39
69 43 20
70 95 200
71 29 194
72 191 150
73 190 111
74 110 102
75 74 147
76 167 111
77 200 39
78 99 27
79 120 33
80 96 72
81 29 140
82 9 29
83 4 59
84 31 104
85 57 11
86 11 13
87 92 22
88 117 153
89 35 193
90 58 48
91 143 67
92 74 84
93 22 95
94 83 2
95 139 183
96 168 1
97 27 96
98 69 182
99 86 80
100 80 80
101 99 16
102 47 125
103 71 47
104 141 14
105 17 67
106 161 137
107 195 25
108 48 78
109 33 49
110 80 161
111 197 88
112 13 45
113 69 51
114 146 33
115 137 59
116 64 126
117 112 157
118 181 152
119 20 91
120 87 162
121 36 78
122 31 166
123 163 185
124 71 197
125 80 118
126 69 125
127 45 5
128 118 148
129 101 75
130 74 185
131 41 115
132 77 42
133 42 173
134 8 194
135 41 17
136 52 87
137 64 182
138 100 59
139 120 113
140 27 199
141 135 88
142 136 128
143 159 50
144 13 160
145 162 48
146 90 143
147 92 145
148 123 27
149 94 82
150 198 36
151 97 84
152 106 183
153 189 39
154 59 14
155 122 138
156 84 166
157 13 109
158 39 84
159 156 89
160 167 34
161 62 162
162 60 143
163 77 121
164 159 39
165 188 54
166 36 189
167 99 127
168 32 59
169 96 3
170 126 45
171 178 141
172 133 162
173 60 148
174 77 141
175 52 103
176 23 58
177 79 200
178 110 166
179 182 130
180 106 152
181 88 112
182 185 178
183 108 144
184 131 41
185 53 85
186 102 78
187 90 129
188 64 30
189 179 198
190 146 185
191 97 90
192 199 199
193 127 153
194 190 181
195 191 115
196 193 78
197 6 59
198 75 144
199 185 65
200 20 191
