NAME : input200_4.txt 
COMMENT : 
TYPE : 2D Metric Graph
DIMENSION : 200 
EDGE_WEIGHT_TYPE : Metric 2D
NODE_COORD_SECTION
1 148 54
2 128 196
3 12 126
4 179 57
5 131 75
6 85 16
7 103 197
8 64 70
9 11 48
10 56 37
11 21 37
12 16 154
13 154 124
14 28 56
15 54 80
16 170 125
17 180 33
18 82 116
19 177 52
20 142 157
21 80 65
22 93 60
23 166 9
24 15 7
25 193 112
26 103 30
27 187 55
28 23 184
29 54 168
30 108 152
31 35 3
32 107 87
33 139 36
34 138 161
35 190 134
36 29 130
37 162 161
38 106 154
39 193 21
40 18 60
41 147 114
42 116 54
43 71 194
44 134 192
45 20 1
46 45 90
47 136 32
48 195 68
49 186 113
50 167 121
51 144 112
52 115 28
53 6 179
54 142 81
55 61 22
56 191 99
57 192 159
58 52 108
59 7 109
60 46 106
61 6 132
62 121 25
63 165 138
64 46 22
65 69 166
66 142 53
67 91 140
68 171 1
69 176 18
70 50 67
71 54 27
72 131 135
73 18 155
74 57 31
75 81 81
76 133 2
77 130 167
78 183 172
79 57 176
80 200 39
81 80 37
82 127 146
83 173 177
84 78 138
85 10 48
86 153 183
87 67 53
88 85 63
89 28 18
90 114 97
91 163 141
92 189 103
93 114 89
94 31 58
95 122 186
96 117 120
97 59 82
98 93 164
99 40 80
100 37 153
101 7 2
102 107 13
103 52 166
104 159 175
105 74 116
106 6 173
107 185 171
108 11 49
109 149 15
110 35 35
111 25 151
112 71 14
113 171 187
114 32 154
115 52 171
116 61 169
117 186 66
118 191 123
119 139 113
120 162 173
121 60 191
122 16 120
123 9 160
124 9 9
125 2 2
126 30 20
127 133 120
128 61 190
129 192 160
130 47 3
131 75 38
132 101 97
133 133 54
134 59 65
135 56 45
136 129 198
137 46 178
138 106 70
139 81 113
140 71 81
141 22 15
142 116 117
143 30 124
144 140 168
145 9 2
146 105 122
147 157 63
148 65 64
149 197 17
150 34 176
151 108 118
152 116 155
153 53 13
154 177 153
155 133 161
156 169 28
157 199 123
158 108 163
159 126 62
160 129 21
161 85 49
162 84 121
163 12 27
164 1 157
165 13 84
166 79 171
167 82 1
168 196 34
169 173 39
170 163 164
171 14 83
172 98 90
173 38 114
174 83 195
175 48 86
176 166 88
177 81 54
178 37 135
179 26 164
180 112 170
181 127 97
182 71 6
183 189 48
184 130 126
185 130 84
186 86 31
187 190 70
188 22 59
189 116 39
190 164 16
191 10 47
192 77 76
193 63 91
194 20 53
195 18 70
196 33 117
197 13 82
198 55 146
199 28 102
200 123 182
